ID;Year_Birth;Education;Marital_Status;Income;Kid_Home;Teen_Home;Total_Children;Days_Since_Last_Purchase;start_membership;Days_Since_Join;Amt_Wines;Amt_Fruits;Amt_Meat_Products;Amt_Fish_Products;Amt_Sweet_Products;Amt_Gold_Products;Total_Spend;Spend_Income_Ratio;Age;Num_Deals_Purchases;Num_Web_Purchases;Num_Catalog_Purchases;Num_Store_Purchases;Total_Purchases;NumWebVisitsMonth;Accepted_Cmp_1;Accepted_Cmp_2;Accepted_Cmp_3;Accepted_Cmp_4;Accepted_Cmp_5;Accepted_Last_Cmp;Complain
8614;1957;3;6;65486.0;0;1;1;29;2014-05-12;4174;245;19;125;37;67;14;507;0.0077421128180069024;68;1;4;2;10;17;2;0;0;0;0;0;0;0
4114;1964;4;2;79143.0;0;0;0;2;2012-08-11;4813;650;37;780;27;167;32;1693;0.021391658137801195;61;1;6;9;13;29;3;0;0;0;0;0;0;0
1331;1977;3;1;35790.0;1;0;1;54;2013-01-02;4669;12;6;20;30;1;3;72;0.00201173512154233;48;2;2;0;3;7;7;0;0;0;0;0;0;0
2225;1977;3;4;82582.0;0;0;0;54;2014-06-07;4148;510;120;550;156;40;241;1617;0.019580538131796277;48;1;4;9;7;21;1;1;0;1;0;0;1;0
9381;1978;3;2;66373.0;1;1;2;57;2013-06-12;4508;328;9;124;12;24;109;606;0.009130218612990222;47;7;4;2;10;23;3;0;0;0;0;0;0;0
6260;1955;4;3;82384.0;0;0;0;55;2012-11-19;4713;984;51;432;180;120;190;1957;0.023754612546125462;70;1;3;10;13;27;1;0;0;0;0;1;1;0
10383;1966;3;4;70287.0;0;0;0;30;2013-04-02;4579;295;35;482;121;120;40;1093;0.015550528547242022;59;1;5;5;10;21;3;0;0;0;0;0;1;0
7437;1988;3;1;27938.0;1;0;1;31;2014-04-28;4188;13;0;8;2;1;5;29;0.0010380127425012528;37;1;1;0;4;6;3;0;0;0;0;0;0;0
8557;1982;3;1;52332.0;1;0;1;57;2013-06-17;4503;11;3;22;2;2;6;46;0.0008790032867079416;43;2;2;0;3;7;6;0;0;0;0;0;0;0
8375;1968;5;2;55954.0;0;1;1;63;2014-03-03;4244;447;0;28;0;0;43;518;0.009257604460807091;57;3;8;2;6;19;7;0;0;0;0;0;0;0
6853;1982;4;1;75777.0;0;0;0;12;2013-07-04;4486;712;26;538;69;13;80;1438;0.018976734365308733;43;1;3;6;11;21;1;0;0;0;1;1;1;0
3076;1975;3;3;66653.0;1;1;2;18;2012-09-07;4786;452;18;102;16;18;6;612;0.009181882285868604;50;4;4;2;12;22;3;0;0;0;0;0;0;0
1012;1952;3;1;61823.0;0;1;1;26;2013-02-18;4622;523;7;134;37;14;169;884;0.014298885528039726;73;4;8;2;10;24;7;0;0;0;0;0;0;0
6518;1951;5;6;67680.0;0;1;1;8;2013-06-11;4509;546;0;48;0;6;6;606;0.008953900709219859;74;1;7;3;8;19;5;0;0;0;0;0;0;0
4137;1948;3;3;70666.0;0;0;0;29;2013-12-06;4331;398;40;367;119;122;30;1076;0.0152265587411202;77;1;7;4;4;16;4;0;0;0;0;0;0;0
8082;1971;3;2;25721.0;1;0;1;75;2013-05-21;4530;1;3;6;3;6;15;34;0.0013218770654329147;54;1;1;1;2;5;7;0;0;0;0;0;1;0
1386;1967;3;3;32474.0;1;1;2;0;2014-05-11;4175;10;0;1;0;0;0;11;0.00033873252448112336;58;1;1;0;2;4;7;0;0;0;0;0;0;0
9369;1979;2;1;88194.0;0;1;1;19;2014-03-19;4228;688;14;309;201;24;38;1274;0.014445427126561898;46;1;11;10;10;32;5;1;0;1;0;0;1;0
4477;1958;3;3;69096.0;0;1;1;4;2013-09-27;4401;247;49;159;7;82;109;653;0.009450619428042144;67;1;5;2;10;18;4;0;0;0;0;0;0;0
1357;1970;3;3;74854.0;1;2;3;90;2013-04-08;4573;856;59;487;58;29;73;1562;0.020867288321265397;55;7;2;5;5;19;5;0;0;0;0;0;0;0
1402;1954;4;2;66991.0;0;0;0;1;2012-09-11;4782;496;36;460;189;60;12;1253;0.01870400501559911;71;3;4;8;6;21;3;0;0;0;0;0;0;0
10629;1973;2;2;46779.0;1;0;1;25;2012-09-14;4779;25;3;43;17;4;17;109;0.002330105389170354;52;3;3;0;3;9;8;0;0;0;0;0;0;0
6312;1959;3;2;65031.0;0;1;1;29;2013-03-17;4595;258;107;291;84;37;86;863;0.013270594024388368;66;4;10;3;13;30;7;0;0;0;0;0;0;0
8132;1975;5;2;60631.0;1;1;2;88;2013-04-05;4576;565;6;65;0;6;19;661;0.01090201382131253;50;5;9;2;8;24;7;0;0;0;1;0;0;0
1050;1952;3;2;28332.0;0;0;0;58;2014-04-30;4186;14;10;13;4;15;9;65;0.00229422561061697;73;1;2;1;4;8;2;0;0;0;0;0;0;0
5846;1977;3;4;40246.0;1;0;1;68;2012-12-19;4683;2;1;6;2;1;1;13;0.0003230134671768623;48;1;1;0;2;4;6;0;0;0;0;0;0;0
1859;1972;4;2;75251.0;0;0;0;34;2012-08-27;4797;721;111;925;97;18;18;1890;0.025115945303052452;53;1;7;6;5;19;5;0;0;0;0;0;1;0
7503;1976;3;1;75825.0;0;0;0;40;2012-10-12;4751;1032;105;779;137;105;51;2209;0.02913287174414771;49;0;5;8;9;22;4;0;0;1;0;0;1;0
10401;1976;2;3;26326.0;0;0;0;12;2013-09-04;4424;1;0;5;0;3;9;18;0.0006837347109321583;49;1;0;0;3;4;3;0;0;0;0;0;0;1
1618;1965;3;3;56046.0;0;0;0;9;2013-01-02;4669;577;0;64;0;0;51;692;0.012347000678014489;60;2;10;1;8;21;8;0;0;1;0;0;1;0
3332;1985;3;1;29760.0;1;0;1;87;2012-08-29;4795;64;4;68;7;5;17;165;0.005544354838709678;40;4;3;1;4;12;8;0;0;0;0;0;0;0
2261;1969;3;2;26304.0;1;0;1;5;2013-06-23;4497;4;1;5;2;0;4;16;0.0006082725060827251;56;1;1;0;2;4;7;0;0;0;0;0;0;0
5346;1973;2;2;23559.0;1;0;1;87;2013-07-03;4487;25;5;19;7;0;23;79;0.0033532832463177556;52;3;3;0;3;9;7;0;0;0;0;0;0;0
535;1987;3;4;81361.0;0;0;0;18;2014-02-25;4250;163;23;424;27;65;76;778;0.009562321013753518;38;1;3;10;13;27;1;0;0;0;0;0;0;0
5268;1960;3;2;29440.0;1;1;2;95;2013-08-11;4448;17;8;14;10;4;3;56;0.0019021739130434783;65;2;1;0;4;7;7;0;0;0;0;0;0;0
273;1970;4;2;36138.0;1;1;2;48;2013-07-16;4474;130;0;16;0;0;5;151;0.004178427140406221;55;5;3;1;4;13;7;0;0;0;1;0;0;0
4452;1957;3;1;50388.0;0;1;1;3;2014-05-28;4158;292;6;37;0;3;34;372;0.007382710169087878;68;4;6;1;6;17;7;1;0;0;1;0;1;0
8504;1973;3;2;79593.0;0;0;0;70;2014-05-12;4174;350;60;568;110;133;145;1366;0.01716231326875479;52;1;5;6;7;19;2;0;0;0;0;1;0;0
771;1967;3;3;54178.0;0;1;1;79;2014-01-21;4285;135;9;39;4;0;7;194;0.0035807892502491786;58;1;2;2;5;10;2;0;0;0;0;0;0;0
8996;1957;5;2;55012.0;2;1;3;4;2012-11-19;4713;230;42;192;49;37;53;603;0.01096124481931215;68;12;7;2;8;29;9;0;0;0;0;0;0;0
9235;1957;3;1;52332.0;1;1;2;45;2014-05-27;4159;7;0;8;2;0;1;18;0.000343957807842238;68;1;1;0;2;4;7;0;0;0;0;0;0;0
5798;1973;4;3;51257.0;0;0;0;87;2013-11-23;4344;445;37;359;98;28;18;985;0.01921688744951909;52;1;2;4;8;15;1;0;0;0;0;0;0;0
11178;1972;4;1;42394.0;1;0;1;69;2014-03-23;4224;15;2;10;0;1;4;32;0.0007548237958201632;53;1;1;0;3;5;7;0;0;0;0;0;0;0
2230;1970;5;2;23626.0;1;0;1;84;2014-05-24;4162;27;2;14;0;0;0;43;0.0018200287818505036;55;3;3;1;3;10;5;0;0;0;0;0;0;0
7516;1983;3;2;30096.0;1;0;1;30;2014-05-22;4164;5;3;11;12;5;9;45;0.0014952153110047847;42;1;2;0;3;6;6;0;0;0;0;0;0;0
7247;1960;3;6;47916.0;0;1;1;72;2012-11-22;4710;505;0;26;0;0;75;606;0.012647132481843225;65;5;7;4;6;22;6;0;0;0;1;0;0;0
11100;1972;3;4;51813.0;1;1;2;37;2013-04-11;4570;51;2;7;0;1;2;63;0.0012159110647906896;53;2;2;0;3;7;7;0;0;0;0;0;0;0
4646;1951;2;2;78497.0;0;0;0;44;2013-12-01;4336;207;26;447;75;0;223;978;0.012459074869103278;74;1;5;7;12;25;2;1;0;0;0;0;0;0
3037;1983;5;2;50150.0;0;0;0;32;2013-06-20;4500;135;46;92;65;61;11;410;0.008175473579262214;42;2;5;2;7;16;5;0;0;0;0;0;0;0
1473;1960;2;1;47823.0;0;1;1;0;2013-07-23;4467;53;1;5;2;1;10;72;0.001505551721974782;65;2;2;0;3;7;8;0;0;0;0;0;0;0
1016;1959;5;1;34554.0;0;1;1;43;2014-03-30;4217;41;1;6;2;0;5;55;0.0015917115239914338;66;2;2;0;3;7;6;0;0;0;0;0;0;0
4518;1979;3;3;85693.0;0;1;1;59;2013-04-20;4561;386;172;183;185;132;111;1169;0.013641721027388469;46;2;9;5;11;27;5;0;0;0;0;0;0;0
9370;1945;5;2;65846.0;0;0;0;68;2013-05-17;4534;562;81;276;80;40;81;1120;0.017009385535947514;80;1;6;3;6;16;4;0;0;0;0;0;0;0
8908;1959;3;2;87195.0;0;0;0;35;2014-05-08;4178;217;76;690;50;26;38;1097;0.012580996616778485;66;1;3;11;5;20;1;0;0;0;0;0;1;0
8373;1979;1;3;24594.0;1;0;1;94;2013-12-10;4327;1;3;6;10;0;9;29;0.0011791493860291128;46;1;1;0;3;5;5;0;0;0;0;0;0;0
7533;1964;3;2;49096.0;1;1;2;15;2013-09-24;4404;144;1;32;2;1;7;187;0.003808864265927978;61;4;4;1;4;13;7;0;0;0;0;0;0;0
2683;1969;3;2;52413.0;0;2;2;56;2013-02-02;4638;295;106;271;75;98;65;910;0.017362104821322954;56;4;6;4;12;26;6;0;0;0;0;0;0;0
3629;1978;3;1;38557.0;1;0;1;17;2012-12-19;4683;76;3;31;4;4;27;145;0.0037606660269211816;47;2;3;1;3;9;7;0;0;0;0;0;0;0
10991;1960;4;2;89058.0;0;0;0;18;2012-12-07;4695;454;194;106;31;22;43;850;0.009544341889555122;65;1;5;4;4;14;2;0;0;0;0;0;0;0
5077;1979;3;3;77298.0;0;1;1;46;2013-11-02;4365;425;115;292;23;35;79;969;0.012535900023286502;46;1;6;6;11;24;3;0;0;0;0;0;0;0
7431;1991;5;1;68126.0;0;0;0;40;2012-11-10;4722;1332;17;311;23;51;86;1820;0.026715204180489095;34;1;7;4;5;17;9;0;0;0;1;0;1;0
3267;1963;4;3;57288.0;0;1;1;27;2014-06-25;4130;527;0;21;0;0;60;608;0.010613042871107387;62;3;8;1;8;20;6;0;0;0;1;0;0;0
999;1991;3;1;86037.0;0;0;0;95;2013-01-02;4669;490;44;125;29;20;22;730;0.008484721689505677;34;1;6;7;11;25;3;0;0;0;1;1;1;0
9215;1980;5;2;43974.0;1;0;1;19;2012-12-12;4690;378;0;101;0;0;72;551;0.012530131441306226;45;5;6;4;6;21;7;0;0;0;0;0;0;0
2286;1962;3;1;50785.0;1;1;2;27;2013-09-10;4418;64;1;21;0;1;27;114;0.0022447573102293986;63;2;2;1;3;8;6;0;0;0;0;0;0;0
1592;1970;3;2;90765.0;0;0;0;25;2014-01-24;4282;547;99;812;151;82;33;1724;0.018994105657467085;55;0;4;6;5;15;1;1;0;0;0;1;0;0
367;1978;2;2;36550.0;1;0;1;74;2013-02-19;4621;47;90;94;123;103;120;577;0.015786593707250343;47;5;9;1;5;20;9;0;0;0;0;0;0;0
5234;1967;2;3;30753.0;1;1;2;85;2013-07-11;4479;12;5;25;0;9;30;81;0.0026338893766461808;58;2;1;1;3;7;5;0;0;0;0;0;0;0
9862;1969;3;3;21918.0;1;0;1;37;2013-11-14;4353;1;6;7;11;5;3;33;0.0015056118258965235;56;2;2;0;3;7;6;0;0;0;0;0;0;0
9805;1953;4;3;56129.0;0;1;1;65;2013-06-20;4500;320;48;133;39;72;48;660;0.01175862744748704;72;4;6;2;10;22;4;0;0;0;0;0;0;0
6205;1967;4;1;32557.0;1;0;1;13;2014-02-24;4251;34;3;29;0;4;10;80;0.0024572288601529624;58;3;2;1;3;9;5;0;0;0;0;0;1;0
8442;1985;4;2;19510.0;2;0;2;63;2013-09-04;4424;9;0;7;3;4;7;30;0.0015376729882111738;40;2;1;0;3;6;7;0;0;0;0;0;0;0
7386;1976;3;4;30992.0;1;0;1;83;2013-04-22;4559;17;0;14;7;3;2;43;0.0013874548270521425;49;1;1;0;3;5;7;0;0;0;0;0;0;0
7215;1983;3;1;101970.0;0;0;0;69;2013-03-12;4600;722;27;102;44;72;168;1135;0.011130724722957733;42;0;6;8;13;27;2;1;0;0;1;1;1;0
1491;1965;2;3;71488.0;0;0;0;87;2013-02-18;4622;162;33;124;40;28;172;559;0.00781949418084154;60;2;3;4;7;16;1;0;0;0;0;0;0;0
11071;1984;3;1;79607.0;0;0;0;37;2013-04-21;4560;450;133;951;173;0;216;1923;0.024156167171228662;41;1;3;6;6;16;1;0;0;0;0;0;1;0
3381;1953;4;2;54348.0;1;1;2;51;2014-06-08;4147;70;0;16;0;0;4;90;0.0016559947008169575;72;2;2;0;4;8;6;0;0;0;0;0;0;0
8268;1961;5;2;55012.0;0;1;1;23;2013-07-11;4479;352;0;27;10;0;15;404;0.0073438522504180904;64;3;6;1;7;17;6;0;0;0;0;0;0;0
11051;1956;5;3;77376.0;1;1;2;72;2014-05-10;4176;492;19;110;16;12;12;661;0.008542700578990902;69;4;6;3;10;23;4;0;0;0;0;0;0;0
8026;1952;3;2;62998.0;0;1;1;10;2013-09-30;4398;120;58;73;65;89;58;463;0.007349439664751262;73;5;5;4;5;19;5;0;0;0;0;0;0;0
433;1958;4;5;61331.0;1;1;2;42;2013-03-10;4602;534;5;47;0;5;41;632;0.010304739854233585;67;5;11;1;6;23;8;0;0;0;0;0;0;0
9597;1969;3;2;73448.0;0;0;0;10;2014-02-10;4265;236;106;189;23;41;130;725;0.009870929092691428;56;1;7;2;9;19;4;0;0;0;0;0;0;0
1295;1963;3;2;52332.0;0;1;1;96;2013-08-11;4448;231;65;196;38;71;124;725;0.013853856149201253;62;1;6;5;7;19;4;0;0;0;0;0;0;0
5290;1964;5;2;41551.0;1;1;2;51;2013-08-14;4445;220;0;33;3;0;23;279;0.006714639840196385;61;5;5;1;5;16;8;0;0;0;0;0;0;0
1685;1967;5;3;62981.0;0;0;0;21;2013-03-17;4595;796;14;590;38;44;0;1482;0.02353090614629809;58;1;4;5;13;23;3;0;0;0;1;0;0;0
5342;1976;1;4;9548.0;1;0;1;31;2012-08-08;4816;0;1;3;10;6;9;29;0.0030372852953498117;49;2;1;0;3;6;8;0;0;0;0;0;0;0
9579;1959;5;2;33762.0;2;1;3;61;2013-07-07;4483;53;1;34;2;0;16;106;0.003139624429832356;66;3;2;2;2;9;8;0;0;0;0;0;0;0
7660;1973;5;5;35860.0;1;1;2;37;2014-05-19;4167;15;0;8;4;2;20;49;0.0013664249860568878;52;2;1;1;2;6;5;0;0;1;0;0;1;0
1461;1965;5;4;36921.0;1;1;2;74;2013-07-28;4462;17;1;12;3;1;4;38;0.0010292245605481975;60;2;2;0;3;7;7;0;0;0;0;0;0;0
821;1992;4;1;92859.0;0;0;0;46;2012-10-19;4744;962;61;921;52;61;20;2077;0.02236724496279305;33;1;5;4;12;22;2;0;0;0;0;0;0;0
11084;1976;4;3;65104.0;0;1;1;4;2013-11-14;4353;738;0;232;13;20;50;1053;0.016174121405750797;49;2;3;5;7;17;7;0;0;0;0;0;1;0
8690;1962;3;2;86111.0;0;0;0;73;2013-04-19;4562;399;28;756;36;40;126;1385;0.016083891721150607;63;1;5;7;10;23;2;0;0;0;0;0;0;0
2937;1974;5;1;68352.0;0;1;1;47;2013-08-28;4431;614;16;132;43;33;33;871;0.012742860486891387;51;3;8;5;9;25;6;0;0;0;0;0;0;0
9701;1988;3;3;41883.0;1;0;1;13;2013-03-19;4593;32;34;41;73;16;116;312;0.007449323114390087;37;3;4;2;3;12;7;0;0;0;0;0;0;0
9949;1976;3;2;59809.0;0;2;2;36;2012-10-18;4745;598;16;141;32;41;49;877;0.01466334498152452;49;3;3;3;6;15;8;0;0;0;0;0;0;0
10837;1975;3;2;23957.0;1;0;1;47;2012-10-28;4735;2;1;18;20;11;16;68;0.002838418833743791;50;1;2;0;3;6;6;0;0;0;0;0;1;0
3120;1981;3;3;38547.0;1;0;1;49;2013-08-28;4431;6;1;10;0;1;4;22;0.0005707318338651516;44;1;1;0;2;4;8;0;0;0;0;0;0;1
5885;1973;2;2;35688.0;2;1;3;94;2012-08-22;4802;73;3;90;12;1;32;211;0.005912351490697153;52;7;4;1;4;16;8;0;0;0;0;0;0;0
4050;1966;4;2;49605.0;0;0;0;65;2014-06-21;4134;42;16;29;12;20;8;127;0.0025602257836911603;59;1;2;1;4;8;3;0;0;0;0;0;0;0
3830;1953;4;2;59354.0;0;2;2;59;2014-04-24;4192;295;21;78;39;13;13;459;0.007733261448259595;72;1;4;4;7;16;3;0;0;0;0;0;0;0
7987;1969;3;2;65747.0;0;1;1;96;2014-03-07;4240;346;17;48;23;13;13;460;0.006996516951343788;56;4;8;1;6;19;6;0;0;0;1;0;0;0
7798;1972;2;3;46344.0;0;1;1;28;2012-12-14;4688;233;20;57;8;20;91;429;0.009256861729673745;53;4;7;1;5;17;7;0;0;0;0;0;0;0
92;1988;3;5;34176.0;1;0;1;12;2014-05-12;4174;5;7;24;19;14;20;89;0.0026041666666666665;37;4;3;0;4;11;6;0;0;0;0;0;0;0
7055;1952;5;3;61010.0;0;1;1;57;2012-10-09;4754;888;0;57;0;0;76;1021;0.016734961481724306;73;2;8;5;11;26;5;0;0;0;0;0;0;0
10240;1949;3;3;69372.0;0;0;0;10;2013-02-19;4621;997;26;269;34;13;42;1381;0.01990716715677795;76;1;10;4;6;21;4;0;0;0;1;1;1;0
3025;1958;3;1;49967.0;0;1;1;4;2013-07-08;4482;212;6;69;4;12;3;306;0.006124041867632638;67;3;6;1;5;15;7;0;0;0;0;0;0;0
9283;1978;3;1;60199.0;1;2;3;49;2013-09-12;4416;8;1;7;2;0;0;18;0.0002990082891742388;47;1;0;0;3;4;4;0;0;0;0;0;0;0
9970;1977;3;3;55375.0;0;1;1;3;2013-10-17;4381;42;11;57;10;28;14;162;0.0029255079006772007;48;1;1;1;6;9;2;0;0;0;0;0;0;0
